title,snippet,link
Dynamical variational autoencoders: A comprehensive review,"… variational autoencoders (DVAEs), … variational lower bound (VLB), over a training dataset.Hereinafter, we refer to this general variational inference and training methodology as the …",https://arxiv.org/pdf/2008.12595
D-vae: A variational autoencoder for directed acyclic graphs,"… Inspired by this work, we propose to also train a variational autoencoder for DAGs, and … In this section, we describe our proposed DAG variational autoencoder (D-VAE). D-VAE uses an …",https://proceedings.neurips.cc/paper_files/paper/2019/file/e205ee2a5de471a70c1fd1b46033a75f-Paper.pdf
Application of variational autoEncoder (VAE) model and image processing approaches in game design,"… combine with the Variational AutoEncoder (VAE) model to … effectiveness of the Variational AutoEncoder (VAE) model in … that consists of a variational autoencoder, which is equipped …",https://www.mdpi.com/1424-8220/23/7/3457/pdf
Recvae: A new variational autoencoder for top-n recommendations with implicit feedback,"… Mult-VAE model, which used the multinomial likelihood variational autoencoders, has shown … In this work, we propose the Recommender VAE (RecVAE) model that originates from our …",https://arxiv.org/pdf/1912.11160
Guided variational autoencoder for disentanglement learning,"… We propose an algorithm, guided variational autoencoder (Guided-VAE), that is able to learn a controllable generative model by performing latent representation disentanglement …",https://openaccess.thecvf.com/content_CVPR_2020/papers/Ding_Guided_Variational_Autoencoder_for_Disentanglement_Learning_CVPR_2020_paper.pdf
GF-VAE: a flow-based variational autoencoder for molecule generation,… -VAE which is short for Graph Flow - Variational AutoEncoder to generate molecular graphs. The key idea behind it is to attach a VAE-… This is a perfect marriage between VAE model and …,https://dl.acm.org/doi/pdf/10.1145/3459637.3482260
VAE-Sim: a novel molecular similarity measure based on a variational autoencoder,"… , in the form of a variational autoencoder (VAE). This learns the … (C) The variational autoencoder (VAE) architecture used in … (C) The variational autoencoder (VAE) architecture used in …",https://www.mdpi.com/1420-3049/25/15/3446/pdf
"Factor analysis, probabilistic principal component analysis, variational inference, and variational autoencoder: Tutorial and survey","… Using the EM introduced in variational inference, the ELBO is maximized and the … details of factor analysis, PPCA, variational inference, and VAE. The remainder of this paper …",https://arxiv.org/pdf/2101.00734
A stable variational autoencoder for text modelling,… HR-VAE model with three strong baselines using VAE for text modelling: VAE-LSTM-base3: A variational autoencoder … 2016); VAE-CNN4: A variational autoencoder model with a LSTM …,https://arxiv.org/pdf/1911.05343
VAE-Stega: linguistic steganography based on variational auto-encoder,"… Variational Auto-Encoder (VAE), which can be called VAE-Stega. We use the encoder in VAE… texts, and then use the decoder in VAE-Stega to generate steganographic sentences which …",https://www.researchgate.net/profile/Zhongliang-Yang-2/publication/343840385_VAE-Stega_Linguistic_Steganography_Based_on_Variational_Auto-Encoder/links/5f44616e299bf13404efa79b/VAE-Stega-Linguistic-Steganography-Based-on-Variational-Auto-Encoder.pdf
A robust variational autoencoder using beta divergence,… Here we focus on variational autoencoders (VAEs). While the VAE is a popular framework for … We propose a variational lower bound that leads to a robust VAE model that has the same …,https://www.sciencedirect.com/science/article/am/pii/S0950705121010534
Diagnosing and enhancing VAE models,"… we rigorously analyze the VAE objective, … VAE, which is merely a VAE model with explicit Gaussian assumptions and parameterizations: Definition 1 A κ-simple VAE is defined as a VAE …",https://arxiv.org/pdf/1903.05789
Tutorial: Deriving the standard variational autoencoder (vae) loss function,"… VAE yields a likelihood distribution p(x|z), … VAE as pφ(x|z). The output of the encoder are parameters of the latent distribution, which is sampled to yield the input into the decoder. A VAE …",https://arxiv.org/pdf/1907.08956
Simple and effective VAE training with calibrated decoders,"… sian variance the σ-VAE. In our experiments, the σ-VAE outperforms the alternative of learning … We validate our results on several VAE and sequence VAE models and a range of image …",http://proceedings.mlr.press/v139/rybkin21a/rybkin21a.pdf
Generating diverse high-fidelity images with vq-vae-2,"We explore the use of Vector Quantized Variational AutoEncoder (VQ-VAE) models for large scale image generation. To this end, we scale and enhance the autoregressive priors used …",https://proceedings.neurips.cc/paper/2019/file/5f8e2fa1718d1bbcadf1cd9c7a54fb8c-Paper.pdf
Anomaly detection for time series using vae-lstm hybrid model,"… VAE-LSTM hybrid model as an unsupervised approach for anomaly detection in time series. Our model utilizes both a VAE … top of the features inferred from the VAE module. As a result, …",https://www.oxford-man.ox.ac.uk/wp-content/uploads/2020/06/ANOMALY-DETECTION-FOR-TIME-SERIES-USING-VAE-LSTM-HYBRID-MODEL.pdf
Gp-vae: Deep probabilistic time series imputation,… We propose a VAE architecture for multivariate time series imputation with a GP prior in the latent space to capture temporal dynamics. We propose a Cauchy kernel to allow the time …,http://proceedings.mlr.press/v108/fortuin20a/fortuin20a.pdf
Vv-net: Voxel vae net with group convolutions for point cloud segmentation,"We present a novel algorithm for point cloud segmentation. Our approach transforms unstructured point clouds into regular voxel grids, and further uses a kernel-based interpolated …",https://openaccess.thecvf.com/content_ICCV_2019/papers/Meng_VV-Net_Voxel_VAE_Net_With_Group_Convolutions_for_Point_Cloud_ICCV_2019_paper.pdf
Don't blame the elbo! a linear vae perspective on posterior collapse,… objective for the linear VAE does not introduce additional spurious local maxima relative to log marginal likelihood. We show further that training a linear VAE with exact variational …,https://proceedings.neurips.cc/paper_files/paper/2019/file/7e3315fe390974fcf25e44a9445bd821-Paper.pdf
Muse-vae: Multi-scale vae for environment-aware long term trajectory prediction,"… , we propose MUSE-VAE, a new … VAE backbones across the two stages make it possible to naturally account for the joint uncertainty at both levels of granularity. As a result, MUSE-VAE …",http://openaccess.thecvf.com/content/CVPR2022/papers/Lee_MUSE-VAE_Multi-Scale_VAE_for_Environment-Aware_Long_Term_Trajectory_Prediction_CVPR_2022_paper.pdf
LSTM-based VAE-GAN for time-series anomaly detection,"… To make the VAE-GAN learn the temporal dependence of time series, we combine the VAE-GAN with LSTM by using LSTM as the encoder, the generator and the discriminator of VAE-…",https://www.mdpi.com/1424-8220/20/13/3738/pdf
Nerf-vae: A geometry aware 3d scene generative model,"… NeRF-VAE, a … -VAE’s explicit 3D rendering process further contrasts previous generative models with convolution-based rendering which lacks geometric structure. Our model is a VAE …",http://proceedings.mlr.press/v139/kosiorek21a/kosiorek21a.pdf
Dr. VAE: improving drug response prediction via modeling of drug perturbation effects,… VAE is a deep generative model based on variational autoencoders. Our experimental results showed Dr.VAE to … VAE can be credited to the incorporation of drug-induced perturbation …,https://academic.oup.com/bioinformatics/article-pdf/35/19/3743/48975711/btz158.pdf
Multi-VAE: Learning disentangled view-common and view-peculiar visual representations for multi-view clustering,"… issue, we present a novel VAE-based multi-view clustering framework (Multi-VAE) by learning … Experimental results demonstrate that Multi-VAE enjoys the disentangled and explainable …",http://openaccess.thecvf.com/content/ICCV2021/papers/Xu_Multi-VAE_Learning_Disentangled_View-Common_and_View-Peculiar_Visual_Representations_for_Multi-View_ICCV_2021_paper.pdf
Videogpt: Video generation using vq-vae and transformers,"… We compare VQ-VAE with and without axial attention blocks as shown in Table 3. Empirically, incorporating axial attention into the VQ-VAE architecture improves reconstruction (NMSE) …",https://arxiv.org/pdf/2104.10157
Generating diverse structure for image inpainting with hierarchical VQ-VAE,"… VAE (VQ-VAE) [20] is suitable for our study1. First, there is a vector quantization step in VQ-VAE … Based on the hierarchical VQ-VAE, we propose a twostage model for multiple-solution …",https://openaccess.thecvf.com/content/CVPR2021/papers/Peng_Generating_Diverse_Structure_for_Image_Inpainting_With_Hierarchical_VQ-VAE_CVPR_2021_paper.pdf
Application of generative adversarial networks (GAN) for ophthalmology image domains: a survey,"… generative adversarial network (GAN), which consists of two competing types of deep neural networks, … The adoption of GAN for medical imaging is increasing for image generation and …",https://link.springer.com/content/pdf/10.1186/s40662-022-00277-3.pdf
Generative adversarial networks,… GAN-like models called domain-adversarial networks can be used for domain adaptation.GANs can be used for a variety of interactive digital media effects where the end goal is to …,https://dl.acm.org/doi/pdf/10.1145/3422622
Study of prevention of mode collapse in generative adversarial network (GAN),"… Abstract—With the advancement of Deep Neural Network and its increased applications, … requirement Deep generative models specifically Generative Adversarial Networks (GANs) …",https://www.researchgate.net/profile/Vandana-Kushwaha/publication/348366663_Study_of_Prevention_of_Mode_Collapse_in_Generative_Adversarial_Network_GAN/links/630307b3ceb9764f7214b539/Study-of-Prevention-of-Mode-Collapse-in-Generative-Adversarial-Network-GAN.pdf
Generating realistic building electrical load profiles through the Generative Adversarial Network (GAN),"… buildings through the Generative Adversarial Network (GAN), … , and (3) using GAN to generate daily load profiles for each … the load profiles generated by GAN can capture not only the …",https://www.sciencedirect.com/science/article/am/pii/S0378778820307234
Applications of generative adversarial networks (gans): An updated review,… VAE and a generative adversarial network (GAN) [34]. It can be used the GAN discriminator to measure sample similarity. They achieved this by combining a VAE with a GAN as shown …,https://kc.kku.edu.sa/research_library/GANs_Applications_Review.pdf
"A survey on generative adversarial networks: Variants, applications, and training",… The Generative Models have gained considerable attention in unsupervised … Generative Adversarial Networks (GAN) due to their outstanding data generation capability. Many GAN …,https://arxiv.org/pdf/2006.05132
Generative adversarial networks (GAN) based efficient sampling of chemical composition space for inverse design of inorganic materials,"… , we propose the first generative adversarial network model for … Project 16 , and ICSD, our GAN models are able to learn the … The analysis shows that our generative GAN can achieve …",https://www.nature.com/articles/s41524-020-00352-0.pdf
"A review on generative adversarial networks: Algorithms, theory, and applications","… Abstract—Generative adversarial networks (GANs) have … to provide a review of the various GAN methods from the … , and structures of most GAN algorithms are introduced in detail, and …",https://arxiv.org/pdf/2001.06937
Training generative adversarial networks with limited data,"… Training generative adversarial networks (GAN) using too little data typically leads to discriminator overfitting, causing training to diverge. We propose an adaptive discriminator …",https://proceedings.neurips.cc/paper/2020/file/8d30aa96e72440759f74bd2306c1fa3d-Paper.pdf
A generative adversarial network (gan) technique for internet of medical things data,"… In this work, we apply the concept of generative adversarial networks (GANs) to perform a data … datasets created through a well-structured GAN are comparable with a real dataset, as …",https://www.mdpi.com/1424-8220/21/11/3726/pdf
Building footprint extraction from high resolution aerial images using generative adversarial network (GAN) architecture,"… Thus, we introduce an end-to-end convolutional neural network called Generative Adversarial Network (GAN) in this study to tackle these issues. In the generative model, we utilized …",https://ieeexplore.ieee.org/iel7/6287639/8948470/09260150.pdf
Evolutionary generative adversarial networks,"… In this paper, we build an evolutionary GAN (E-GAN), which treats the adversarial training procedure as an evolutionary problem. Specifically, a discriminator acts as the environment (ie…",https://arxiv.org/pdf/1803.00657
MAD-GAN: Multivariate anomaly detection for time series data with generative adversarial networks,"… on Generative Adversarial Networks (GANs), using the Long-Short-Term-Memory Recurrent Neural Networks … generator and discriminator) in the GAN framework to capture the temporal …",https://arxiv.org/pdf/1901.04997
Generative adversarial networks and its applications in biomedical informatics,"… The basic Generative Adversarial Networks (GAN) model is composed of the input vector, generator, and discriminator. Among them, the generator and discriminator are implicit …",https://www.frontiersin.org/articles/10.3389/fpubh.2020.00164/pdf
Storygan: A sequential conditional gan for story visualization,"In this work, we propose a new task called Story Visualization. Given a multi-sentence paragraph, the story is visualized by generating a sequence of images, one for each sentence. In …",http://openaccess.thecvf.com/content_CVPR_2019/papers/Li_StoryGAN_A_Sequential_Conditional_GAN_for_Story_Visualization_CVPR_2019_paper.pdf
Pros and cons of GAN evaluation measures: New developments,"… relatively more popular, GAN evaluation is not a … GAN evaluation and deepfakes. These are important areas of concern in the machine learning community today and progress in GAN …",https://arxiv.org/pdf/2103.09396
Gan inversion: A survey,"… latent spaces of GAN models, representative GAN inversion methods, and their properties. As the StyleGAN models achieve state-of-the-art image synthesis, numerous GAN inversion …",https://arxiv.org/pdf/2101.05278
Pros and cons of GAN evaluation measures,"… to understand GAN … GAN measures and help the researchers objectively assess them. At the end, I will offer some suggestions for designing more efficient measures for fair GAN …",https://arxiv.org/pdf/1802.03446
Seeing what a gan cannot generate,"… Network (GAN) to synthesize realistic images leads us to ask: How can we know what a GAN is unable to generate? Modedropping or mode collapse, where a GAN omits portions of the …",http://openaccess.thecvf.com/content_ICCV_2019/papers/Bau_Seeing_What_a_GAN_Cannot_Generate_ICCV_2019_paper.pdf
Building layout generation using site-embedded GAN model,"… domains enabled by GAN including floorplan generation, street-… to apply deep generative methods including GAN and VAE (… For example, Fedorova [34] used a GAN-based approach to …",https://drive.google.com/file/d/12PNXSspXZKV2K-ZlGMo8MfGy5t4DgQox/view
From gan to wgan,… This paper explains the math behind a generative adversarial network (GAN) [1] model and why it is hard to be trained. Wasserstein GAN is intended to improve GANs’ training by …,https://arxiv.org/pdf/1904.08994
Data-efficient gan training beyond (just) augmentations: A lottery ticket perspective,"… data-efficient GAN training: by first identifying the lottery ticket from the original GAN using the … of our proposed framework, across various GAN architectures (SNGAN, BigGAN, and …",https://proceedings.neurips.cc/paper/2021/file/af4f00ca48321fb026865c5a1772dafd-Paper.pdf
"GaN-based power devices: Physics, reliability, and perspectives","… GaN-based power devices: in the first part of the article, starting from a discussion of the main properties of the material, the characteristics of lateral and vertical GaN … of traps in GaN and …",https://iris.unimore.it/bitstream/11380/1255364/1/JAP21-TU-WBGM2022-03402.pdf
Image augmentations for gan training,"… real images and samples generated during GAN training. Through extensive experiments… GAN training, whereas augmenting both real and generated images consistently improve GAN …",https://arxiv.org/pdf/2006.02595
GaN transistors for efficient power conversion,"… learning curve in GaN technology advancements. Acknowledging that GaN transistors are not … a practical guide for understanding basic GaN transistor construction, characteristics, and …",https://epc-co.com/epc/Portals/0/epc/documents/presentations/IIC-2012.pdf
Actformer: A gan-based transformer towards general action-conditioned 3d human motion generation,"We present a GAN-based Transformer for general action-conditioned 3D human motion generation, including not only single-person actions but also multi-person interactive actions. …",http://openaccess.thecvf.com/content/ICCV2023/papers/Xu_ActFormer_A_GAN-based_Transformer_towards_General_Action-Conditioned_3D_Human_Motion_ICCV_2023_paper.pdf
Image processing using multi-code gan prior,"… ) in image synthesis, applying trained GAN models to real image … reconstruction enables the trained GAN models as prior to … -wise representation learned by GAN models and shed light …",https://openaccess.thecvf.com/content_CVPR_2020/papers/Gu_Image_Processing_Using_Multi-Code_GAN_Prior_CVPR_2020_paper.pdf
HiGAN+: handwriting imitation GAN with disentangled representations,"… To address the above challenges, in our previous conference work [Gan and Wang 2021], we have proposed a novel handwriting imitation GAN (HiGAN) for HI, which can generate …",https://dl.acm.org/doi/pdf/10.1145/3550070
On data augmentation for GAN training,"… using our proposed DAG aligns with the original GAN in minimizing the Jensen–Shannon (… DAG to different GAN models: unconditional GAN, conditional GAN, self-supervised GAN and …",https://arxiv.org/pdf/2006.05338
An accurate datasheet-based full-characteristics analytical model of GaN HEMTs for deadtime optimization,"… of GaN HEMTs, including circuit's parasitic inductances, the nonlinear capacitances, the unique reverse characteristics, etc. Taking a GaN… the high-frequency application of GaN HEMTs. …",https://www.researchgate.net/profile/Zhiyuan-Qi/publication/347610052_An_Accurate_Datasheet-Based_Full-Characteristics_Analytical_Model_of_GaN_HEMTs_for_Deadtime_Optimization/links/60442fe5a6fdcc9c781ad7c6/An-Accurate-Datasheet-Based-Full-Characteristics-Analytical-Model-of-GaN-HEMTs-for-Deadtime-Optimization.pdf
Deep reinforcement learning,"… This kind of task requires the so-called deep reinforcement learning (DRL), which is an indepth combination of artificial neural network (ANN) and reinforcement learning (RL). The “deep…",https://arxiv.org/pdf/1810.06339
Exploration in deep reinforcement learning: A survey,"… deep reinforcement learning. Note that this review is intended for beginners in exploration for deep reinforcement learning; … the paper, we will use ’reinforcement learning’ as it is a more …",https://arxiv.org/pdf/2205.00824
Deep reinforcement learning,"… Deep Reinforcement Learning. By combining the concepts from deep learning and Reinforcement Learning, … research in the field of Deep Reinforcement Learning, this book also covers …",https://www.researchgate.net/profile/Mohit-Sewak/publication/334079091_Deep_Reinforcement_Learning_Frontiers_of_Artificial_Intelligence/links/5ebd05c5299bf1c09abbdd5b/Deep-Reinforcement-Learning-Frontiers-of-Artificial-Intelligence.pdf
Deep reinforcement learning: a survey,… Road tracking using deep reinforcement learning for self-driving car applications. Int Conf … Deep reinforcement learning in a handful of trials using probabilistic dynamics models. Proc …,https://www.fitee.zjujournals.com/rc-pub/front/front-article/download/24331220/lowqualitypdf/%C3%A6%C2%B7%C2%B1%C3%A5%C2%BA%C2%A6%C3%A5%C2%BC%C2%BA%C3%A5%C5%92%E2%80%93%C3%A5%C2%AD%C2%A6%C3%A4%C2%B9%C2%A0%C3%A7%C2%BB%C2%BC%C3%A8%C2%BF%C2%B0.pdf
Deep reinforcement learning and its neuroscientific implications,"… computers, allowing scaling of supervised deep learning systems to much more interesting … , deep reinforcement learning (RL). As we will detail, deep RL brings deep learning together …",https://www.cell.com/neuron/pdf/S0896-6273(20)30468-2.pdf
Explainability in deep reinforcement learning,"… of Deep Reinforcement Learning … reinforcement learning (RL), has not been extensively studied. We review recent works in the direction to attain Explainable Reinforcement Learning (…",https://www.sciencedirect.com/science/article/am/pii/S0950705120308145
Applications of deep reinforcement learning in communications and networking: A survey,"… It can overcome the limitations of reinforcement learning, and thus open a new era for the development of reinforcement learning, namely Deep Reinforcement Learning (DRL). DRL …",https://arxiv.org/pdf/1810.07862
Multi-agent deep reinforcement learning: a survey,"… , multi-agent reinforcement learning gains rapid traction, and … deep reinforcement learning. We focus primarily on literature from recent years that combines deep reinforcement learning …",https://link.springer.com/content/pdf/10.1007/s10462-021-09996-w.pdf
Chainerrl: A deep reinforcement learning library,"… deep reinforcement learning (DRL) library built using Python and the Chainer deep learning … Keywords: reinforcement learning, deep reinforcement learning, reproducibility, open …",https://www.jmlr.org/papers/volume22/20-376/20-376.pdf
Deep reinforcement learning for autonomous driving: A survey,"… a powerful learning framework now capable of learning com… This review summarises deep reinforcement learning (DRL) … , imitation learning, inverse reinforcement learning that are …",https://arxiv.org/pdf/2002.00444
Deep reinforcement learning for power system applications: An overview,"… and response, is a machine learning method. It has become in… tion with deep learning, called deep reinforcement learning, … the application of deep reinforcement learning in power sys…",https://ieeexplore.ieee.org/iel7/7054730/9020217/08859593.pdf
Deep reinforcement learning in computer vision: a comprehensive survey,"… reinforcement learning. We then propose a categorization of deep reinforcement learning … In particular, we divide deep reinforcement learning into seven main categories according to …",https://arxiv.org/pdf/2108.11510
Suphx: Mastering mahjong with deep reinforcement learning,"… We design an AI for Mahjong, named Suphx, based on deep reinforcement learning with some newly introduced techniques including global reward prediction, oracle guiding, and run-…",https://arxiv.org/pdf/2003.13590
Drone deep reinforcement learning: A review,"… In this paper, we described the state of the art of one subset of these algorithms: the deep reinforcement learning (DRL) techniques. We made a detailed description of them, and we …",https://www.mdpi.com/2079-9292/10/9/999/pdf
Optimization of molecules via deep reinforcement learning,"… and reinforcement learning, which we call Molecule Deep Q-… employ the deep reinforcement learning technique of Deep Q-… of multi-objective deep reinforcement learning, our model is …",https://www.nature.com/articles/s41598-019-47148-x.pdf
Deep reinforcement learning for trading,… We adopt Deep Reinforcement Learning algorithms to design trading strategies for continuous futures contracts. Both discrete and continuous action spaces are considered and …,https://arxiv.org/pdf/1911.10107
Deep learning in image classification using residual network (ResNet) variants for detection of colorectal cancer,"… Based on the results of the implementation of the Deep Residual Network (ResNet) method … There are two ResNet architectural models, particularly ResNet-18 and ResNet-50, with …",https://www.sciencedirect.com/science/article/pii/S1877050921000284/pdf?md5=5486e43b489047004e08921def981006&pid=1-s2.0-S1877050921000284-main.pdf
Spiking deep residual networks,… residual network (ResNet) [24] to its spiking equivalent. ResNet is a cutting-edge convolutional neural network (CNN) architecture that allows a network to go extremely deep and has …,https://arxiv.org/pdf/1805.01352
Improved residual networks for image and video recognition,… Improved information flow through the network A residual network (ResNet) [5] is constructed by stacking together many residual building blocks (ResBlocks). An example of a residual …,https://arxiv.org/pdf/2004.04989
Dn-resnet: Efficient deep residual network for image denoising,… Residual Network (DN-ResNet) which is more efficient and accurate than prior art. DN-ResNet consists of residual blocks (ResBlock) which are gradually inserted into the network stage …,https://arxiv.org/pdf/1810.06766
Study of residual networks for image recognition,"… In this project, we designed ResNet models that can perform a simple image … of these ResNet models with their equivalent Convolutional Network (ConvNet) by removing the residual …",https://arxiv.org/pdf/1805.00325
Why resnet works? residuals generalize,"… article, we consider a neural network constructed by adding multiple residual connections to … neural networks with residual connections and provide a generalization bound for ResNet …",https://arxiv.org/pdf/1904.01367
Invertible residual networks,"… We show that standard ResNet architectures can be made invertible, allowing the same … to the Jacobian log-determinant of a residual block. Our empirical evaluation shows that …",http://proceedings.mlr.press/v97/behrmann19a/behrmann19a.pdf
Feature reuse residual networks for insect pest recognition,"… network (FR-ResNet) and evaluated the performance on IP102 benchmark dataset. The experimental results showed that FR-ResNet … residual networks, including ResNet, Pre-ResNet, …",https://ieeexplore.ieee.org/iel7/6287639/8600701/08819933.pdf
Norm-preservation: Why residual networks can become extremely deep?,"… Section 2, and to empirically demonstrate the behavior and effectiveness of the proposed modifications, we experimented with Residual Network (ResNet) and the proposed Procrustes …",https://arxiv.org/pdf/1805.07477
Deep residual learning for image recognition: A survey,"… In this survey, we will try to explain what Deep Residual Networks are, how they achieve their … In 2015, a new deep learning model known as a deep residual network (ResNet) was …",https://www.mdpi.com/2076-3417/12/18/8972/pdf
Residual networks as flows of diffeomorphisms,"… understanding and characterization of residual networks (ResNet), which … ResNet implementation. We further discuss the resulting theoretical and computational insights into ResNet …",https://hal.science/hal-01796729/document
Wider or deeper: Revisiting the resnet model for visual recognition,"… residual network into an exponentially wider one, and assorted the success of residual networks … on this topic, ie, the unravelled view of residual networks. Based on that, we try to find a …",https://www.researchgate.net/profile/Zifeng-Wu-2/publication/311222763_Wider_or_Deeper_Revisiting_the_ResNet_Model_for_Visual_Recognition/links/584127b108ae2d217560f418/Wider-or-Deeper-Revisiting-the-ResNet-Model-for-Visual-Recognition.pdf
Towards understanding the importance of shortcut connections in residual networks,"… Residual Network (ResNet) is undoubtedly a milestone in deep learning. ResNet is equipped … In this paper, we study a two-layer non-overlapping convolutional ResNet. Training such a …",https://proceedings.neurips.cc/paper_files/paper/2019/file/7716d0fc31636914783865d34f6cdfd5-Paper.pdf
Resnet-se: Channel attention-based deep residual network for complex activity recognition using wrist-worn wearable sensors,"… This study represents the first attempt at establishing a ResNet-based structure as a generic framework for complex action recognition. • A deep residual network, known as ResNet-SE, …",https://ieeexplore.ieee.org/iel7/6287639/6514899/09771436.pdf
Deep residual learning in spiking neural networks,"… can hardly implement residual learning. In this paper, we propose the spikeelement-wise (SEW) ResNet to realize residual learning in deep SNNs. We prove that the SEW ResNet can …",https://proceedings.neurips.cc/paper/2021/file/afe434653a898da20044041262b3ac74-Paper.pdf
Soft error resilience of deep residual networks for object recognition,"… Residual Networks (ResNet) are known with their depth (ie able to accept more … As ResNet is believed to be one of the best CNN models used in classification tasks. Moreover, ResNet …",https://ieeexplore.ieee.org/iel7/6287639/8948470/08963961.pdf
Why resnet works? residuals generalize,"… margin-based multiclass generalization bound is obtained for ResNet, as an exemplary … ResNet (see Lemma 4). Eventually, we provide a proof of the generalization bound for ResNet …",https://arxiv.org/pdf/1904.01367
Resnet strikes back: An improved training procedure in timm,"… paper, we focus on the vanilla ResNet-50 architecture2 as … of the ResNet-50 such as SE-ResNet-50 [20] or ResNet-50-… to be strong baselines for a vanilla ResNet-50 used at inference …",https://arxiv.org/pdf/2110.00476
"What can resnet learn efficiently, going beyond kernels?","… How can neural networks such as ResNet efficiently learn CIFAR-10 with test accuracy more … In the end, we also prove a computation complexity advantage of ResNet with respect to …",https://proceedings.neurips.cc/paper_files/paper/2019/file/5857d68cd9280bc98d079fa912fd6740-Paper.pdf
Inception and ResNet features are (almost) equivalent,"… ResNet, in terms of the properties they extract from images. We find that the properties extracted by Inception are very similar to the properties extracted by ResNet, … images by ResNet is …",https://www.sciencedirect.com/science/article/am/pii/S1389041719305066
Resnet or densenet? introducing dense shortcuts to resnet,"… For ResNet, the identity shortcut that stabilizes training might … Partially due to this, it is not a trivial choice between ResNet … philosophy of simple design in ResNet and DenseNet. On …",http://openaccess.thecvf.com/content/WACV2021/papers/Zhang_ResNet_or_DenseNet_Introducing_Dense_Shortcuts_to_ResNet_WACV_2021_paper.pdf
CO-ResNet: Optimized ResNet model for COVID-19 diagnosis from X-ray images,"… CO-ResNet is applied to a novel dataset of 5,935 X-ray … testing different epochs our CO-ResNet was optimized for detecting COVID-… Our proposed CO-ResNet obtains consistently best …",https://journals.sagepub.com/doi/pdf/10.3233/HIS-210008
Image classification based on RESNET,"… RESNET in an acceptable time, and compared several deep learning models, which proved that RESNET … show the inception RESNET modules used in inception RESNET V1 and the …",https://iopscience.iop.org/article/10.1088/1742-6596/1634/1/012110/pdf
Object detection based on VGG with ResNet network,… We implement ResNet network in VGG that minimize VGG networks training error and able … The output of conv6 passes through to improved ResNet network. The modified ResNet …,https://www.researchgate.net/profile/Foysal-Haque/publication/333232428_Object_Detection_Based_on_VGG_with_ResNet_Network/links/6077fea12fb9097c0ce570e9/Object-Detection-Based-on-VGG-with-ResNet-Network.pdf
Deep learning in image classification using residual network (ResNet) variants for detection of colorectal cancer,… seen that ResNet-50 has a higher level of accuracy than ResNet-18. The sensitivity value on the same data sets shows ResNet-18 has a minimum sensitivity value of 64% and Resnet-…,https://www.sciencedirect.com/science/article/pii/S1877050921000284/pdf?md5=5486e43b489047004e08921def981006&pid=1-s2.0-S1877050921000284-main.pdf
Covid-resnet: A deep learning framework for screening of covid19 from radiographs,… This work presents a 3-step technique to fine-tune a pre-trained ResNet-50 architecture to improve model performance and reduce training time – we call it COVID-ResNet. This is …,https://arxiv.org/pdf/2003.14395
Masked face recognition using resnet-50,"… In this paper, the authors train a ResNet-50 based architecture that performs well at recognizing masked faces. The outcome of this study could be seamlessly integrated into existing …",https://arxiv.org/pdf/2104.08997
Rrl: Resnet as representation for reinforcement learning,"… Is Resnet lucky? To investigate if architectural choice of Resnet is lucky, in Figure 6 we test … Not much degradation in performance is observed with respect to the Resnet model. This …",https://arxiv.org/pdf/2107.03380
COV19-CNNet and COV19-ResNet: diagnostic inference Engines for early detection of COVID-19,… We named these engines COV19-CNNet and COV19-ResNet. The former is based on convolutional neural network architecture; the latter is on residual neural network (ResNet) …,https://link.springer.com/content/pdf/10.1007/s12559-020-09795-5.pdf
Multiple feature reweight densenet for image classification,"… inter-layer feature reweight DenseNet (ILFR-DenseNet). In the last step, we designed the MFR-DenseNet by combining the CFR-DenseNet and the ILFR-DenseNet with an ensemble …",https://ieeexplore.ieee.org/iel7/6287639/8600701/08611344.pdf
Resnet or densenet? introducing dense shortcuts to resnet,"… Nonetheless, DenseNet requires heavy GPU memory due to concatenation … of DenseNet by 20% [37]. The main reason that DenseNet requires more training time is that DenseNet uses …",http://openaccess.thecvf.com/content/WACV2021/papers/Zhang_ResNet_or_DenseNet_Introducing_Dense_Shortcuts_to_ResNet_WACV_2021_paper.pdf
DenseNet convolutional neural networks application for predicting COVID-19 using CT image,"… Another feature of DenseNet is that it has a smaller set of parameters to be optimized than … Thus, DenseNet is less complicated. To acquire greater accuracy, we applied a DenseNet …",https://link.springer.com/content/pdf/10.1007/s42979-021-00782-7.pdf
Application of DenseNet in Camera Model Identification and Post-processing Detection.,"… In this paper, we present a DenseNet pipeline to solve the problem of identifying the source … We use this extended dataset to train a Neural Network with the DenseNet-201 architecture. …",https://openaccess.thecvf.com/content_CVPRW_2019/papers/Media%20Forensics/Rafi_Application_of_DenseNet_in_Camera_Model_Identification_and_Post-processing_Detection_CVPRW_2019_paper.pdf
An efficient densenet-based deep learning model for malware detection,… deep learning DenseNet model [14] enhanced with a class-balanced loss for reweighting the categorical cross-entropy loss. The proposed modification of the DenseNet model ensures …,https://www.mdpi.com/1099-4300/23/3/344/pdf
DenseNet-II: An improved deep convolutional neural network for melanoma cancer detection,"… The main motivation of this work is to develop DenseNet-II to make the process of diagnosis of melanoma quicker and more efficient which further reduces the application of CT scans, X-…",https://link.springer.com/content/pdf/10.1007/s00500-022-07406-z.pdf
